,LAT,LON,VOTES,REPORT,TYPE
0,42.42938423,-83.23914684,10,DUDE I SAW HARAMBE,BUS STATIONS
1,42.41137014,-83.23830411,43654,Saw a strange man creeping around everyday at this bus station #becareful,BUS STATIONS
2,42.33890721,-83.15729181,30336,"I feel safe here, police are patrolling everyday near Aamil Wholesale! #yes",BUS STATIONS
3,42.40465614,-83.22881311,3114,Many shops & restaurants nearby!,BUS STATIONS
4,42.35896114,-82.98490803,25033,"At night this area can get creepy, no one is usually around, avoid this bus station!",BUS STATIONS
5,42.36071122,-82.99407776,1103,I am near a church I must be safe!,BUS STATIONS
6,42.38677614,-83.09584407,13,HEELOOOOOO,BUS STATIONS
7,42.36325813,-83.13044508,45987,Last night I saw a burglary around this area. Detroit police please address this issue!,BUS STATIONS
8,42.37597414,-83.14441408,67893,"Some group of ganksters are staring at me, please help!",BUS STATIONS
9,42.37424414,-83.10576107,12456,Waiting for a bus with some friends!,BUS STATIONS
10,42.42871414,-83.27523813,34392,Some crazy guys are screaming at me ?!!! Had to run!,BUS STATIONS
11,42.33692621,-83.1246318,5,JLAW got a new boyfriend,BUS STATIONS
12,42.43447724,-82.99097577,94589,Got pointed by a gun last night! Had to surrender all my money!,BUS STATIONS
13,42.43228123,-83.1156768,34533,"BP is nearby, you can buy some food before waiting for a bus!",BUS STATIONS
14,42.34337613,-83.1998471,23423,The situation in this station was pretty chaotic!!!,BUS STATIONS
15,42.32796813,-83.05408905,54384,"Surroundings around here are pretty suspicious, be sure to activate watch me!!",BUS STATIONS
16,42.32794921,-83.19574282,2001,The rooftop is leaking!!!,BUS STATIONS
17,42.43418814,-83.25887912,83213,Some suspicious looking men are strolling around the area,BUS STATIONS
18,42.42467424,-82.97482476,43032,Hey the strangers are pretty friendly here!,BUS STATIONS
19,42.38834314,-83.17326309,13456,"The street was pretty slippery, so be careful!",BUS STATIONS
20,42.43538815,-82.96890703,34786,"Be sure to activate watch me, it is very useful!!!",BUS STATIONS
21,42.26495111,-83.16494808,86542,"2 gangsters with guns were fighting each other last night, pretty scary!",BUS STATIONS
22,42.43796714,-83.1808911,63476,"This place is so creepy at night, beware!",BUS STATIONS
23,42.43130823,-83.16122482,43452,"Waited 20 minutes just for the bus at night, becareful!",BUS STATIONS
24,42.41978823,-83.01375277,43854,Got really pissed by some random guys yelling at me for no reason :(,BUS STATIONS
25,42.38810214,-83.11080307,1435,"duh, I don’t like the weather!",BUS STATIONS
26,42.38126014,-83.14504508,62094,"I am amazed by the fact that some police patrol this site at night, feels safe!",BUS STATIONS
27,42.39109914,-83.02287404,54387,"Saw an unattended bag under a seat, be careful!",BUS STATIONS
28,42.38865314,-83.11920007,3872,Saw some dogs barking lul,BUS STATIONS
29,42.40373715,-82.93716302,34253,"Some police vehicles are outside, something must have happened",BUS STATIONS
30,42.32327113,-83.08901206,25343,"Two black men were fist-fighting, super annoying!!!",BUS STATIONS
31,42.36004314,-83.05696805,2013,Stores are selling good food! Yummy!!,BUS STATIONS
32,42.40143914,-83.1966831,43762,Unusual number of passengers today! Feels very safe!,BUS STATIONS
33,42.39298014,-83.06286606,24,I hate dogs barking for no reason,BUS STATIONS
34,42.43006315,-83.06274606,67834,"Found some unattended guns placed under a chair, pretty creepy to be honest!",BUS STATIONS
35,42.35856614,-83.01968104,32,Long live Donald Trump!,BUS STATIONS
36,42.40299414,-83.12551608,2,SELLING SOME VIAGRA FREE PROMOTION 10% OFF PLEASE CALL 12345678,BUS STATIONS
37,42.37330114,-83.02986005,76543,"I recommend getting some companion while waiting here, it is safer!",BUS STATIONS
38,42.41468914,-83.13527408,10,Test posting this thing…,BUS STATIONS
39,42.34988722,-83.03033177,50823,This place is so scary at night! Be careful!,BUS STATIONS
