the_geom,NAME,ACRES,PARKID,NEW_CLASS
"MULTIPOLYGON (((-83.00844586004801 42.37748131354524, -83.00668058995893 42.37817592115865, -83.00527054524647 42.37620941199862, -83.00624685720513 42.37581771481226, -83.00656036935548 42.37625309887617, -83.00734927172269 42.375951118535035, -83.00844586004801 42.37748131354524)))",Pingree,18.55,141,Neighborhood
"MULTIPOLYGON (((-83.13024537359166 42.28949876368838, -83.12998916876832 42.28974091771362, -83.12963174165 42.2905738490068, -83.12907605649302 42.290889222781615, -83.12877001894817 42.29110806555091, -83.12840804323855 42.29148838133492, -83.12691837670349 42.289424190708836, -83.12845828775208 42.28882819176794, -83.12917755559161 42.288550119602704, -83.12994381663235 42.28961567253023, -83.13024537359166 42.28949876368838)))",Delray,11.38,101,Neighborhood
"MULTIPOLYGON (((-83.15673235792987 42.38363468575677, -83.1539452622558 42.38370107349143, -83.15389621448868 42.38193800358914, -83.15484458801305 42.38193862677535, -83.15483306574264 42.38187199264777, -83.1566589690325 42.381891463782694, -83.15673235792987 42.38363468575677)))",Littlefield,11.1,103,Neighborhood
"MULTIPOLYGON (((-83.02595304828867 42.395276794190664, -83.02287045748344 42.395288625964646, -83.0227889334908 42.39348375382342, -83.02593531926813 42.39347176782765, -83.02595304828867 42.395276794190664)))",Lodge,12.72,105,Neighborhood
"MULTIPOLYGON (((-83.20712626079883 42.37847207665831, -83.2058196148229 42.378598954463534, -83.20442906817772 42.37868034034112, -83.20299263794342 42.37871935252311, -83.20195883769827 42.37870328973614, -83.19850326913676 42.37841738365865, -83.19836688436763 42.378289410335356, -83.19827504448178 42.3780781221688, -83.19822654685231 42.3771260706014, -83.20227312303528 42.37706383399336, -83.20232026245623 42.377960324139664, -83.20710781801155 42.377878193267414, -83.20712626079883 42.37847207665831)))",O'Shea,19.77,10,Neighborhood
"MULTIPOLYGON (((-82.97145351209014 42.38566266694516, -82.96997014711775 42.38619080056286, -82.96978979705229 42.386016476189624, -82.96913112077995 42.38537094204692, -82.96868825164155 42.38468799385513, -82.97042175937585 42.38406824937163, -82.97132641094264 42.385468965761554, -82.97145351209014 42.38566266694516)))",Manz,7.37,110,Neighborhood
"MULTIPOLYGON (((-82.98927772420426 42.35477925774577, -82.98678718720468 42.35675599475786, -82.98598037238345 42.35559790217948, -82.98594552232754 42.35556378561673, -82.98604580804621 42.355525849200546, -82.98559599956323 42.35510240618252, -82.9855840880054 42.35508587023343, -82.98439871995454 42.35339409338678, -82.98366164463827 42.353636443393846, -82.98358321921238 42.353518929393545, -82.9828976197268 42.35254623436255, -82.98475544057875 42.3520316086426, -82.987017585991 42.351551918711614, -82.98927772420426 42.35477925774577)))",Henderson,33.66,114,Community
"MULTIPOLYGON (((-83.16895133435567 42.398594847841366, -83.16854461086444 42.398598753560705, -83.16854217639982 42.398661557943505, -83.16815749186475 42.39866933707548, -83.16815380697088 42.3986692981936, -83.16814881534086 42.39854540655166, -83.16686063414372 42.39858006743118, -83.16686177784517 42.39864837307759, -83.16640709774579 42.398654496311146, -83.16641057496668 42.398729200692244, -83.1660196431496 42.39874237006198, -83.16601595825274 42.39874233111076, -83.16600972504713 42.39861933678717, -83.1646785156696 42.39865533926999, -83.16468514960638 42.39875739456718, -83.16427575767554 42.39877218375274, -83.16411519446036 42.39524653417218, -83.16561331807264 42.395215035982346, -83.16589900308539 42.39517981224035, -83.16615586054802 42.39517433225772, -83.16615580800438 42.39517706344554, -83.16618687115509 42.39586123814669, -83.16882179659895 42.39580710517749, -83.16882548132423 42.3958071440377, -83.16895133435567 42.398594847841366)))",Butzel,32.82,116,Community
"MULTIPOLYGON (((-83.1336762977207 42.36680945681888, -83.13194758133542 42.369096274578446, -83.13142494052616 42.368327517351545, -83.13283714859045 42.366460690947314, -83.1336762977207 42.36680945681888)))",Richard Allen,5.18,120,Neighborhood
"MULTIPOLYGON (((-83.10212193007298 42.35407423814699, -83.10632947370871 42.35574269715406, -83.10548676606753 42.35676973641299, -83.10620767743193 42.35770440718386, -83.10445140484902 42.35837988861597, -83.103667726822 42.3572981928346, -83.10226410637894 42.35679484846334, -83.10197813734337 42.356303944830984, -83.10080465105369 42.355803145942545, -83.10212193007298 42.35407423814699)))",Bishop,34.21,125,Community
"MULTIPOLYGON (((-82.99141712264233 42.35335368635673, -82.99058021428972 42.35389355163789, -82.98988691676195 42.35293082359101, -82.9892436626794 42.35203790483344, -82.98883263006162 42.352194093914896, -82.98815489142766 42.35125157704331, -82.98966486676802 42.35091932176072, -82.99141712264233 42.35335368635673)))",Owen,8.26,130,Neighborhood
