the_geom,stop_code,stop_id,stop_desc,stop_name,stop_lat,OBJECTID_1,stop_lon,ROUTE,ROUTENAME,DIRECTION,STREETNAME,CROSSSTREE,LABEL
POINT (-83.17905609277302 42.394390136982445),SFLYSB,6656,Schaefer Hwy & Lyndon St,SCHAEFER & LYNDON,42.394382,4001,-83.179052,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Lyndon St,6656 - Lyndon St / Schaefer Hwy
POINT (-83.17872509270863 42.39484613707887),SFLYNB,6657,Schaefer Hwy & Lyndon St,SCHAEFER & LYNDON,42.394838,4002,-83.178721,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Lyndon St,6657 - Lyndon St / Schaefer Hwy
POINT (-83.1787370928921 42.39702013746631),SFEANB,6658,Schaefer Hwy & Eaton St,SCHAEFER & EATON,42.397012,4003,-83.178733,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Eaton St,6658 - Eaton St / Schaefer Hwy
POINT (-83.17907909299387 42.39697513744277),SFEASB,6659,Schaefer Hwy & Chalfonte St,SCHAFFER & EATON,42.396967,4004,-83.179075,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Chalfonte St,6659 - Chalfonte St / Schaefer Hwy
POINT (-83.17915209319094 42.39908613781609),SFCHSB,6660,Schaefer Hwy & Chalfonte St,SCHAEFER & CHALFONTE,42.399078,4005,-83.179148,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Chalfonte St,6660 - Chalfonte St / Schaefer Hwy
POINT (-83.17883409313653 42.39961413792478),SFCHNB,6661,Schaefer Hwy & Chalfonte St,SCHAEFER & CHALFONTE,42.399606,4006,-83.17883,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Chalfonte St,6661 - Chalfonte St / Schaefer Hwy
POINT (-83.17946909365264 42.40348613858684),SFKESB,6665,Schaefer Hwy & Keeler St,SCHAEFER & KEELER,42.403478,4007,-83.179465,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Keeler St,6665 - Keeler St / Schaefer Hwy
POINT (-83.17912609357275 42.403799138658286),SFKENB,6666,Schaefer Hwy & Keeler St,SCHAEFER & KEELER,42.403791,4008,-83.179122,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Keeler St,6666 - Keeler St / Schaefer Hwy
POINT (-83.17949309380299 42.40521313889391),SFMISB,6667,Schaefer Hwy & Midland St,SCHAEFER & MIDLAND,42.405205,4009,-83.179489,41,SCHAEFER,SOUTHBOUN,Schaefer Hwy,Midland St,6667 - Midland St / Schaefer Hwy
POINT (-83.17913809372084 42.40554413896906),SFMINB,6668,Schaefer Hwy & Midland St,SCHAEFER & MIDLAND,42.405536,4010,-83.179134,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Midland St,6668 - Midland St / Schaefer Hwy
POINT (-83.17923509389944 42.40734113928525),SFPINB,6669,Schaefer Hwy & Pilgrim St,SCHAEFER & PILGRIM,42.407333,4011,-83.179231,41,SCHAEFER,NORTHBOUN,Schaefer Hwy,Pilgrim St,6669 - Pilgrim St / Schaefer Hwy
